brand_id,country_id,date_id,market_share,global_shipments,shipments,sentiment
0,0,0,0,57.64,14.1,8.13,2
1,0,1,0,73.65,14.1,10.38,0
2,0,2,0,0.85,14.1,0.12,0
3,0,3,0,12.81,14.1,1.81,9
4,0,4,0,65.16,14.1,9.19,9
5,0,5,0,46.36,14.1,6.54,7
6,0,6,0,69.92,14.1,9.86,5
7,0,7,0,46.59,14.1,6.57,1
8,0,8,0,10.48,14.1,1.48,0
9,1,0,0,0.99,7.3,0.07,4
10,1,1,0,2.19,7.3,0.16,8
11,1,2,0,9.29,7.3,0.68,1
12,1,3,0,0.43,7.3,0.03,2
13,1,4,0,2.28,7.3,0.17,0
14,1,5,0,1.31,7.3,0.1,5
15,1,6,0,4.22,7.3,0.31,1
16,1,7,0,5.04,7.3,0.37,4
17,1,8,0,5.03,7.3,0.37,9
18,2,0,0,0.0,1.8,0.0,0
19,2,1,0,0.0,1.8,0.0,3
20,2,2,0,0.0,1.8,0.0,10
21,2,3,0,0.0,1.8,0.0,8
22,2,4,0,0.0,1.8,0.0,7
23,2,5,0,0.0,1.8,0.0,5
24,2,6,0,0.0,1.8,0.0,4
25,2,7,0,0.0,1.8,0.0,10
26,2,8,0,0.0,1.8,0.0,4
27,3,0,0,0.0,0.0,0.0,6
28,3,1,0,0.0,0.0,0.0,8
29,3,2,0,0.0,0.0,0.0,3
30,3,3,0,0.0,0.0,0.0,0
31,3,4,0,0.0,0.0,0.0,1
32,3,5,0,0.0,0.0,0.0,7
33,3,6,0,0.0,0.0,0.0,3
34,3,7,0,0.0,0.0,0.0,5
35,3,8,0,0.0,0.0,0.0,7
36,4,0,0,0.0,0.744920008,0.0,8
37,4,1,0,0.0,0.744920008,0.0,9
38,4,2,0,0.0,0.744920008,0.0,0
39,4,3,0,0.0,0.744920008,0.0,4
40,4,4,0,0.0,0.744920008,0.0,0
41,4,5,0,0.0,0.744920008,0.0,0
42,4,6,0,0.0,0.744920008,0.0,10
43,4,7,0,0.0,0.744920008,0.0,0
44,4,8,0,0.0,0.744920008,0.0,10
45,5,0,0,0.0,0.855361305,0.0,3
46,5,1,0,0.0,0.855361305,0.0,0
47,5,2,0,0.0,0.855361305,0.0,2
48,5,3,0,0.0,0.855361305,0.0,10
49,5,4,0,0.0,0.855361305,0.0,0
50,5,5,0,0.0,0.855361305,0.0,0
51,5,6,0,0.0,0.855361305,0.0,9
52,5,7,0,0.0,0.855361305,0.0,9
53,5,8,0,0.0,0.855361305,0.0,6
54,0,0,1,78.85,16.2,12.77,0
55,0,1,1,74.46,16.2,12.06,2
56,0,2,1,0.91,16.2,0.15,7
57,0,3,1,14.63,16.2,2.37,8
58,0,4,1,70.31,16.2,11.39,3
59,0,5,1,42.08,16.2,6.82,4
60,0,6,1,71.49,16.2,11.58,3
61,0,7,1,43.18,16.2,7.0,9
62,0,8,1,4.83,16.2,0.78,7
63,1,0,1,1.65,9.6,0.16,5
64,1,1,1,2.47,9.6,0.24,7
65,1,2,1,11.19,9.6,1.07,0
66,1,3,1,0.49,9.6,0.05,8
67,1,4,1,2.3,9.6,0.22,7
68,1,5,1,1.7,9.6,0.16,7
69,1,6,1,5.81,9.6,0.56,0
70,1,7,1,6.63,9.6,0.64,8
71,1,8,1,15.84,9.6,1.52,10
72,2,0,1,0.0,2.4,0.0,1
73,2,1,1,0.0,2.4,0.0,0
74,2,2,1,0.0,2.4,0.0,7
75,2,3,1,0.0,2.4,0.0,7
76,2,4,1,0.0,2.4,0.0,1
77,2,5,1,0.0,2.4,0.0,0
78,2,6,1,0.0,2.4,0.0,7
79,2,7,1,0.0,2.4,0.0,8
80,2,8,1,0.0,2.4,0.0,4
81,3,0,1,0.0,0.0,0.0,1
82,3,1,1,0.0,0.0,0.0,1
83,3,2,1,0.0,0.0,0.0,4
84,3,3,1,0.0,0.0,0.0,10
85,3,4,1,0.0,0.0,0.0,9
86,3,5,1,0.0,0.0,0.0,5
87,3,6,1,0.0,0.0,0.0,3
88,3,7,1,0.0,0.0,0.0,9
89,3,8,1,0.0,0.0,0.0,0
90,4,0,1,0.0,1.572392245,0.0,1
91,4,1,1,0.0,1.572392245,0.0,7
92,4,2,1,0.0,1.572392245,0.0,2
93,4,3,1,0.0,1.572392245,0.0,6
94,4,4,1,0.0,1.572392245,0.0,8
95,4,5,1,0.0,1.572392245,0.0,0
96,4,6,1,0.0,1.572392245,0.0,7
97,4,7,1,0.0,1.572392245,0.0,4
98,4,8,1,0.0,1.572392245,0.0,0
99,5,0,1,0.0,1.762004662,0.0,1
100,5,1,1,0.0,1.762004662,0.0,3
101,5,2,1,0.0,1.762004662,0.0,10
102,5,3,1,0.0,1.762004662,0.0,9
103,5,4,1,0.0,1.762004662,0.0,2
104,5,5,1,0.0,1.762004662,0.0,7
105,5,6,1,0.0,1.762004662,0.0,2
106,5,7,1,0.0,1.762004662,0.0,8
107,5,8,1,0.0,1.762004662,0.0,7
108,0,0,2,82.78,18.6,15.4,1
109,0,1,2,78.25,18.6,14.55,3
110,0,2,2,0.87,18.6,0.16,4
111,0,3,2,17.3,18.6,3.22,0
112,0,4,2,78.12,18.6,14.53,4
113,0,5,2,46.21,18.6,8.6,4
114,0,6,2,72.31,18.6,13.45,2
115,0,7,2,49.83,18.6,9.27,10
116,0,8,2,4.54,18.6,0.84,1
117,1,0,2,1.67,11.5,0.19,3
118,1,1,2,2.2,11.5,0.25,8
119,1,2,2,12.8,11.5,1.47,1
120,1,3,2,0.79,11.5,0.09,9
121,1,4,2,2.44,11.5,0.28,4
122,1,5,2,2.18,11.5,0.25,3
123,1,6,2,7.23,11.5,0.83,4
124,1,7,2,7.1,11.5,0.82,7
125,1,8,2,26.05,11.5,3.0,10
126,2,0,2,0.0,3.6,0.0,2
127,2,1,2,0.0,3.6,0.0,3
128,2,2,2,0.0,3.6,0.0,9
129,2,3,2,0.0,3.6,0.0,8
130,2,4,2,0.0,3.6,0.0,8
131,2,5,2,0.0,3.6,0.0,9
132,2,6,2,0.0,3.6,0.0,6
133,2,7,2,0.0,3.6,0.0,2
134,2,8,2,0.0,3.6,0.0,7
135,3,0,2,0.0,0.0,0.0,1
136,3,1,2,0.0,0.0,0.0,10
137,3,2,2,0.0,0.0,0.0,9
138,3,3,2,0.0,0.0,0.0,5
139,3,4,2,0.0,0.0,0.0,3
140,3,5,2,0.0,0.0,0.0,8
